mse,psnr,ssim,masked_mse,masked_psnr,masked_ssim,key,stage
6.406013199011795e-06,51.934121708467075,0.997859001159668,0.0008844752446748316,30.533143179284487,0.9991291165351868,food_kiwi_01_8k_view13,final
0.00043543093488551676,33.61080720051856,0.9903807640075684,,,,food_kiwi_01_8k_view13,corrupted
0.006785077974200249,21.684451570579924,0.9401810169219971,,,,food_kiwi_01_8k_view13,inpainted
3.3664571219560457e-06,54.72826912702489,0.9991927742958069,0.0011494953650981188,29.394927755181204,0.999593198299408,food_kiwi_01_8k_view14,final
0.0001899654307635501,37.21325423229161,0.9967688918113708,,,,food_kiwi_01_8k_view14,corrupted
0.006803127005696297,21.672914212401963,0.942156970500946,,,,food_kiwi_01_8k_view14,inpainted
7.055767582642147e-06,51.51455733323861,0.9978244304656982,0.0011822960805147886,29.272737501623624,0.998563289642334,food_kiwi_01_8k_view15,final
0.00040758048999123275,33.897866129186546,0.993506133556366,,,,food_kiwi_01_8k_view15,corrupted
0.00700673833489418,21.544841008357327,0.9408714175224304,,,,food_kiwi_01_8k_view15,inpainted
5.360855084290961e-06,52.70765932551492,0.9976442456245422,0.0007234540535137057,31.405890456632505,0.9987598061561584,food_kiwi_01_8k_view16,final
0.0002620269369799644,35.8165405990004,0.9908719658851624,,,,food_kiwi_01_8k_view16,corrupted
0.011510904878377914,19.388905349071685,0.906644880771637,,,,food_kiwi_01_8k_view16,inpainted
2.863325789803639e-06,55.43129235050575,0.9985979199409485,0.00072340143378824,31.406206347979214,0.9996146559715271,food_kiwi_01_8k_view17,final
0.00013353684335015714,38.74398894178703,0.9940109252929688,,,,food_kiwi_01_8k_view17,corrupted
0.011365029960870743,19.444294150359145,0.9074543118476868,,,,food_kiwi_01_8k_view17,inpainted
1.6523023305126117e-06,57.81910484582081,0.9993011355400085,0.0006049132789485157,32.18306881832925,0.999758243560791,food_kiwi_01_8k_view18,final
7.822900079190731e-05,41.06632216901262,0.9965394139289856,,,,food_kiwi_01_8k_view18,corrupted
0.010795599780976772,19.667532241650886,0.9092679619789124,,,,food_kiwi_01_8k_view18,inpainted
1.3373879710343317e-06,58.73742587324923,0.9994973540306091,0.0005935666849836707,32.26530482617481,0.9998369216918945,food_kiwi_01_8k_view19,final
6.80289012962021e-05,41.6730654307515,0.9973333477973938,,,,food_kiwi_01_8k_view19,corrupted
0.010579829104244709,19.755213473937378,0.9129490852355957,,,,food_kiwi_01_8k_view19,inpainted
2.9371660659194276e-08,75.320714979874,0.9999990463256836,0.000383927981602028,34.157502342944156,0.9999935030937195,food_kiwi_01_8k_view20,final
2.018919985857792e-06,56.948808927398815,0.9999663233757019,,,,food_kiwi_01_8k_view20,corrupted
0.011052343063056469,19.565456431112967,0.9127606749534607,,,,food_kiwi_01_8k_view20,inpainted
4.360772631883947e-09,83.60436556594715,0.9999998211860657,0.000494681706186384,33.05674149973821,0.9999975562095642,food_kiwi_01_8k_view21,final
7.868944607025696e-08,71.04083511869771,0.9999983906745911,,,,food_kiwi_01_8k_view21,corrupted
0.011122061870992184,19.53814693312728,0.9119915962219238,,,,food_kiwi_01_8k_view21,inpainted
1.446329292775772e-06,58.3973281786146,0.9993176460266113,0.0007025275845080614,31.533366186621098,0.9997370839118958,food_kiwi_01_8k_view22,final
6.964706699363887e-05,41.57097168045456,0.9974141120910645,,,,food_kiwi_01_8k_view22,corrupted
0.010847491212189198,19.64670693030904,0.9128735661506653,,,,food_kiwi_01_8k_view22,inpainted
4.695866664405912e-06,53.28284243049807,0.99786776304245,0.000700055155903101,31.548677414704617,0.9988560676574707,food_kiwi_01_8k_view23,final
0.00023301826149690896,36.326100422505384,0.9918457865715027,,,,food_kiwi_01_8k_view23,corrupted
0.011049014516174793,19.566764558497646,0.9098299145698547,,,,food_kiwi_01_8k_view23,inpainted
3.950032260036096e-05,44.0339935746254,0.9864332675933838,0.0011185231851413846,29.51355009265513,0.9903557896614075,food_kiwi_01_8k_view24,final
0.0022919580806046724,26.39793329779936,0.9595144391059875,,,,food_kiwi_01_8k_view24,corrupted
0.0031532698776572943,25.012388578719616,0.9559710621833801,,,,food_kiwi_01_8k_view24,inpainted
1.9522569800756173e-06,57.094630157251345,0.9989253878593445,0.0007324781036004424,31.352053534006604,0.9998447299003601,food_kiwi_01_8k_view25,final
9.05286506167613e-05,40.432139529981356,0.9954856038093567,,,,food_kiwi_01_8k_view25,corrupted
0.008723183535039425,20.59324989909093,0.920478343963623,,,,food_kiwi_01_8k_view25,inpainted
